Id	Name	RFC	Message	Description
001	RPL_WELCOME	RFC2812	:Welcome to the Internet Relay Network <nick>!<user>@<host>	The first message sent after client registration. The text used varies widely
002	RPL_YOURHOST	RFC2812	:Your host is <servername>, running version <version>	Part of the post-registration greeting. Text varies widely
003	RPL_CREATED	RFC2812	:This server was created <date>	Part of the post-registration greeting. Text varies widely
004	RPL_MYINFO	RFC2812	<server_name> <version> <user_modes> <chan_modes>	Part of the post-registration greeting
004	RPL_MYINFO	KineIRCd	<server_name> <version> <user_modes> <chan_modes> <channel_modes_with_params> <user_modes_with_params> <server_modes> <server_modes_with_params>	Same as RFC2812 however with additional fields to avoid additional 005 burden.
005	RPL_BOUNCE	RFC2812	:Try server <server_name>, port <port_number>	Sent by the server to a user to suggest an alternative server, sometimes used when the connection is refused because the server is already full. Also known as RPL_SLINE (AustHex), and RPL_REDIR Also see #010.
005	RPL_ISUPPORT			Also known as RPL_PROTOCTL (Bahamut, Unreal, Ultimate)
006	RPL_MAP	Unreal		
007	RPL_MAPEND	Unreal		
008	RPL_SNOMASK	ircu		Server notice mask (hex)
009	RPL_STATMEMTOT	ircu		
010	RPL_BOUNCE		<hostname> <port> :<info>	Sent to the client to redirect it to another server. Also known as RPL_REDIR
010	RPL_STATMEM	ircu		
014	RPL_YOURCOOKIE	Hybrid?		
015	RPL_MAP	ircu		
016	RPL_MAPMORE	ircu		
017	RPL_MAPEND	ircu		
042	RPL_YOURID	IRCnet		
043	RPL_SAVENICK	IRCnet	:<info>	Sent to the client when their nickname was forced to change due to a collision
050	RPL_ATTEMPTINGJUNC	aircd		
051	RPL_ATTEMPTINGREROUTE	aircd		
200	RPL_TRACELINK	RFC1459	Link <version>[.<debug_level>] <destination> <next_server> [V<protocol_version> <link_uptime_in_seconds> <backstream_sendq> <upstream_sendq>]	See RFC
201	RPL_TRACECONNECTING	RFC1459	Try. <class> <server>	See RFC
202	RPL_TRACEHANDSHAKE	RFC1459	H.S. <class> <server>	See RFC
203	RPL_TRACEUNKNOWN	RFC1459	???? <class> [<connection_address>]	See RFC
204	RPL_TRACEOPERATOR	RFC1459	Oper <class> <nick>	See RFC
205	RPL_TRACEUSER	RFC1459	User <class> <nick>	See RFC
206	RPL_TRACESERVER	RFC1459	Serv <class> <int>S <int>C <server> <nick!user|*!*>@<host|server> [V<protocol_version>]	See RFC
207	RPL_TRACESERVICE	RFC2812	Service <class> <name> <type> <active_type>	See RFC
208	RPL_TRACENEWTYPE	RFC1459	<newtype> 0 <client_name>	See RFC
209	RPL_TRACECLASS	RFC2812	Class <class> <count>	See RFC
210	RPL_TRACERECONNECT	RFC2812		
210	RPL_STATS	aircd		Used instead of having multiple stats numerics
